artist,song,year,verso_idx,verso_texto
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,73,Tratare de lograr cosas que tu no lograstes
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,74,Tratare de hacer cosas que tu nunca isistes
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,75,Estare mas adelante de lo que estuvistes
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,76,Eh aqui el ejemplo pues ya lo vistes.
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,79,Y que mas da si yo vengo de madrid
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,80,Y si eh salido del puñetero infierno
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,81,Que mas da! si pongo tus nervios ah flow de piel
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,82,Oiganme jusgenme me eh colado en mexico por internet
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,83,Gozenme sientanme diganlo en la calle de españa llegue!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,84,Y mi mision es conquistarle como mis antepasados mas con
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,86,Sin sangre que esuchen mi voz de una vez y se queden con
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,88,Y pidan mas y hagan ruido como un enjambre
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,89,"Rulenme, pasanme ah todos sus contactos de messenger"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,90,Quieranme odienmen y si les ago sentir cosas
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,92,Como un dios azteca eh despertado de un letargo
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,93,"Y en esta ocasion tan especial visto de largo,"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,94,"No vine ah hacer amigos, vine a hacer fans"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,95,Os dare obras de caridad porque yo lo valgo
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,96,Yo soy aquel chico que quiso jugar con fuego
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,97,Estar por ensima del bien y el mal
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,98,"Tocar el cielo, llamar la atencion"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,99,Como aire frio en el infierno
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,100,"Venid hijos de puta el ave fenix alza el vuelo!!!,"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,101,Esto es lo que yo mejor se hacer
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,102,Y os quiero dar por el placer de dar esquisitez
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,103,"Ah cualquier paladar, no gano un puto pezo con la musica"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,104,Y da igual tiempo al tiempo que todo se andara
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,105,Hago esto porque necesito saflar mi ser irracional
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,106,De ahi comunicar .Unir lo mistico
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,107,Y lo tecnologico en un mismo track
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,108,Y demostrar que soy el mas crak
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,109,"Suelo soñar jamas en vano,"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,110,Ayer me soñe moviendo mazas desde un ecenario con las manos
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,111,Y se que pasara lo se siempre lo supe
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,112,Tendre mas adictos que la virgen de guadalupe
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,113,Y tu que? levanta el brazo y mirate
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,114,Tienes los pelos de punta y preguntas. por que?
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,115,No lo ves soy parecido ah cocaina
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,116,Cuantos de los que me oyes ponen tu piel de gallina?
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,117,No tengo disquera ni dinero por ahora
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,118,Solo traje un intencion que a tu emocion devora
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,119,Me alimento de sensaciones del voca ah voca
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,120,Me gano ala gente al dejar mi garganta rota!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,121,No soy un español tipo! ni un rapero tipo!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,122,Ahogaros en vuestra siempleza cutre estereotipos
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,123,Yo represento solo mi ego y lo flipo
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,124,Que os den por el culo ah los puretas del hip-hop
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,125,Puedo cantar un rock an droll!!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,126,"Vendir millones de copias, llenar estadios de euforia"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,127,Hijos de un chakal no es por dinero es por gloria
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,128,Con los hipocritas veres me limpio el nabo
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,129,Anti comerciales gana euros ah raulares
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,130,"Los song dan pasta, los discos dan pasta"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,131,Royos hiipies falsos dan asco ya basta!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,132,Yo sueño con exito brutal y no me escondo
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,133,La sinseridad me elevara o me hundira ondo!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,134,"Cantas para ti, te da igual que te escuchen"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,135,Pues no me mandes mas maquetas malas que aburren!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,136,Soy un ereje por desir las cosas claras
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,137,España admiracion famosa por su inquisicion
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,138,Habladurias son envidias disfrasadaz
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,139,No tengo nada pero os puedo dar una leccion
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,140,Solo quiero ser libre como el viento
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,141,No temo alos Mc's le temo al tiempo .
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,142,Con 26 y tengo cara de chaval.eso es por que ya
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,143,Eh firmado un pacto con zatan.
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,144,Y tengo un plan cojer la pasta
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,145,Liarla tan gorda que todas me quieran matar
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,146,Simular mi muerte comprar mi libertad
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,147,Irme ah venezuela con jesus gil y 2pac
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,149,Gelipolleces ah parte lo tengo claro!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,150,Alque no le guste que se aparte de mi lado
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,151,Quieres ser mi rival? vas ah acabar muy mal.
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,152,Crees poder ganar y mi huracan no eh desatado
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,153,Se que duele escucharme porque te das cuenta
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,154,Que soy el mejor de todos los hijos de putas
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,155,Que van de raperos usando el idioma español
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,156,Mi estilo te come tu ravia me pone tu sientes la
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,157,Seguridad en mi voz y por eso da igual
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,158,Que asumeis contra mi porque tengo el destino de
Los Cadetes De Linares,Los Contrabandistas,1976,2,Se agarraron a balazos
Los Cadetes De Linares,Los Contrabandistas,1976,5,La carretera a Laredo
