artist,song
Los Huracanes Del Norte,Lamberto Quintero
Los Huracanes Del Norte,El Corrido De Los Perez
Pedro Infante,El Aventurero
Pedro Infante,El General
Pedro Infante,Los Gavilanes
Pedro Infante,Ifigeño El Sombrerudo
Pedro Infante,Rosita De Olivo
Pedro Infante,El Rebozo
Pedro Infante,Nacho Bernal
Pedro Infante,El Alazan Y El Rocio
Pedro Infante,El Vacilon
Pedro Infante,Ojitos Morenos
Pedro Infante,Soldado Raso
Pedro Infante,El Renegado
Pedro Infante,Ahi Lo Trais
Alberto Vázquez,Por Un Amor
Alberto Vázquez,Extrañame
Alberto Vázquez,Brindo Por Ella
Alberto Vázquez,Corrido De Chihuahua
Alberto Vázquez,Albur De Amor
Alberto Vázquez,Los Barandales Del Puente
Alberto Vázquez,Traigo Un Amor
Alberto Vázquez,Ay! Jalisco No Te Rajes
Alberto Vázquez,La Embarcacion
Alberto Vázquez,Amor Con Amor Se Paga
Alberto Vázquez,Esta Noche La Paso Contigo
Alberto Vázquez,La Carcel De Cananea
Alberto Vázquez,Anillo De Compromiso
Pedro Infante,Ifigeño El Sombrerudo
Pedro Infante,Los Gavilanes
Pedro Infante,El General
Pedro Infante,El Aventurero
Pedro Infante,Rosita De Olivo
Pedro Infante,Soldado Raso
Pedro Infante,El Rebozo
Pedro Infante,Nacho Bernal
Pedro Infante,El Alazan Y El Rocio
Pedro Infante,El Vacilon
Pedro Infante,Ojitos Morenos
Pedro Infante,Ahi Lo Trais
Carlos Y José,Los Federales De Caminos
Carlos Y José,La Preciosa
Carlos Y José,El Quemador
Carlos Y José,Corrido De Manuel Lopez
Carlos Y José,Andres Aguilar
Carlos Y José,Santos Cantu
Antonio Aguilar,El Grano de Oro
Antonio Aguilar,Amor de Los Dos
Antonio Aguilar,Por Ningun Motivo
Antonio Aguilar,El Caballo Mojino
Antonio Aguilar,Ando Que Me Lleva
Antonio Aguilar,Poncho Tirado
Antonio Aguilar,El Chivo
Antonio Aguilar,Un Puño de Tierra
Antonio Aguilar,Y Andale
Antonio Aguilar,La Recien Casada
Antonio Aguilar,La Barca de Guaymas
Antonio Aguilar,Feliz Mañana
Antonio Aguilar,Me Piden
Antonio Aguilar,Animas Que No Amanezca
Antonio Aguilar,Por Una Mujer Casada
Los Tigres Del Norte,Prieta Casada
Los Tigres Del Norte,America
Los Tigres Del Norte,Plaza Garibaldi
Los Tigres Del Norte,Los Tres Amigos - 30 Segundos Para Morir
Los Tigres Del Norte,Creiste
Alberto Vázquez,Corrido De Chihuahua
Alberto Vázquez,Por Un Amor
Alberto Vázquez,Extrañame
Alberto Vázquez,Albur De Amor
Alberto Vázquez,Brindo Por Ella
Alberto Vázquez,Traigo Un Amor
Alberto Vázquez,Ay! Jalisco No Te Rajes
Alberto Vázquez,La Embarcacion
Alberto Vázquez,Los Barandales Del Puente
Alberto Vázquez,Esta Noche La Paso Contigo
Alberto Vázquez,La Carcel de Cananea
Alberto Vázquez,Anillo de Compromiso
Alberto Vázquez,Amor Con Amor Se Paga
