artist,song,year,i_AR,i_MO,i_DI,i_PO,i_NA,i_GO,IIA_global
Alemán,Los Duros,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Mi Loca (Bonus Track),2020,0.0,0.0,0.0,0.0,0.35,0.0,0.058333333333333334
Alemán,Mi Tío Snoop,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Millones Como Tú,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,No Me Digas Na,2020,0.0,0.0,2.0,0.0,0.0,0.0,0.3333333333333333
Alemán,Perro Callejero,2018,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.047619047619047616
Alemán,Pinches Puercos,2018,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.07142857142857142
Alemán,Quién Si No,2018,0.375,0.0,0.25,0.0,0.0,0.0,0.10416666666666667
Alemán,Reyes del Trapicheo,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Rucón,2018,0.16666666666666666,0.0,0.1111111111111111,0.0,0.16666666666666666,0.2222222222222222,0.1111111111111111
Alemán,Si Chuy,2020,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.05555555555555555
Alemán,Tantas Veces,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Tumbados en la Trampa,2020,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.07142857142857142
Alemán,VIP ,2025,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333
Alemán & Adán Cruz,Mi Propio Frankenstein,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán & Adán Cruz,Ondeados,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán & Adán Cruz,Todo Está Bien,2018,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.05555555555555555
Alemán & Adán Cruz,Ya No Hay Cheve,2018,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.05555555555555555
Alemán & DJ Phat,El Levantón ,2014,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.05555555555555555
Alemán & DJ Phat,La Doble Rimaldita,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfredo Olivas,El Día De Los Muertos,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfredo Olivas,Los que porto,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Adios Al As De Oros,1972,0.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
Antonio Aguilar,Bandido De Amores,2000,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
Antonio Aguilar,Bandido De Amores,2007,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
Antonio Aguilar,Benjamin Argumedo,2003,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666
Antonio Aguilar,Caballo Alazan Lucero,1972,0.25,0.0,0.25,0.0,0.0,0.0,0.08333333333333333
Antonio Aguilar,Caballo Alazan Lucero,1984,0.25,0.0,0.25,0.0,0.0,0.0,0.08333333333333333
Antonio Aguilar,Caballo Alazan Lucero,2003,0.25,0.0,0.25,0.0,0.0,0.0,0.08333333333333333
Antonio Aguilar,Caballo Alazan Lucero,2014,0.25,0.0,0.25,0.0,0.0,0.0,0.08333333333333333
Antonio Aguilar,Caballo Prieto Afamado,1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Caballo Prieto Afamado,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Caballo Prieto Afamado,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Caballo Prieto Afamado,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Caballo Prieto Afamado,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Caballo Prieto Azabache,1972,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285
Antonio Aguilar,Caballo Prieto Azabache,1984,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285
Antonio Aguilar,Caballo Prieto Azabache,2003,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285
Antonio Aguilar,Caballo Prieto Azabache,2014,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285
Antonio Aguilar,Corrido De Arnulfo Gonzalez,1997,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.2424242424242424
Antonio Aguilar,Corrido De Arnulfo Gonzalez,2003,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.2424242424242424
Antonio Aguilar,Corrido De Chihuahua,1984,0.0,0.0,0.5,0.0,0.0,0.0,0.08333333333333333
Antonio Aguilar,Corrido De Lucio Vazquez,1997,3.0,0.0,0.0,0.0,0.0,0.0,0.5
Antonio Aguilar,Corrido De Lucio Vazquez -Los Pavo Reales-,2003,3.0,0.0,0.0,0.0,0.0,0.0,0.5
Antonio Aguilar,Corrido De Lucio Vázquez,1984,3.0,0.0,0.0,0.0,0.0,0.0,0.5
Antonio Aguilar,Corrido De Macario Leyva,1988,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Corrido De Simón Blanco,1984,0.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333
Antonio Aguilar,Corrido de Macario Leyva,1988,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Cuarenta Cartas,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,De Un Rancho A Otro,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Domingo Corrales,1980,0.3,0.0,0.0,0.0,0.0,0.0,0.05
Antonio Aguilar,Domingo Corrales,2006,0.3,0.0,0.0,0.0,0.0,0.0,0.05
Antonio Aguilar,El Caballo Bayo,1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Caballo Bayo,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Caballo Bayo,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Caballo Bayo,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Caballo Blanco,1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Caballo Blanco,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Caballo Blanco,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Caballo Blanco,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Caballo Gavilan,2006,0.375,0.0,0.0,0.0,0.0,0.25,0.10416666666666666
Antonio Aguilar,El Caballo Jovero,1984,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.1111111111111111
Antonio Aguilar,El Caballo Jovero,2014,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.1111111111111111
Antonio Aguilar,El Caballo Mojino,1988,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.07142857142857142
Antonio Aguilar,El Caballo Mojino,2014,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.07142857142857142
Antonio Aguilar,El Califa,1984,0.25,0.0,0.0,0.0,0.0,0.625,0.14583333333333331
