artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Peso Pluma,Rubicon,2023,"Compa ando torcido, ya me pegó el blunt",,,,,,
Grupo Exterminador,Los Dos Compas,1998,"Porque el bíper ta sonando, los güeros quieren más carga",,,,,,
Los Huracanes Del Norte,El Motor 460,1998,"Lo que si les aseguro, que la carga fue entregada",,,,,,
Luis Y Julian,Catarino Y Los Rurales,1997,Ese gallo de Palenque,,,,,,
Luis Y Julian,El Hijo Del Viejo,2000,Sembraba mota de a madre,,,,,,
Larry Hernández,Mal Encachado y Buchon,2009,"hoy por la cocina entra el hombre,",,,,,,
Alemán,Casa en la Montaña 2,2020,No todo es amor y paz en el humo de tu bong,,,,,,
Vicente Fernandez,El Gallo Negro,1978,Me dicen el gallo negro porque me gusta pelear,,,,,,
Natanael Cano,Compa Bladi,2019,Se prende un gallo para elevarse,,,,,,
Los Cadetes De Linares,"Hierba, Polvo Y Plomo",2009,El polvo empezó a gustarle,,,,,,
Peso Pluma,Lady Gaga,2023,"Zumbando en el RZR, máscaras, polvo y ambiente",,,,,,
Los Tucanes De Tijuana,El Gallo,1997,Gilberto se yama el gallo,,,,,,
Tiro Loko,16 Toneladas,2019,Traigo mota pa' aventar,,,,,,
Voz De Mando,Estrategias de Guerra,2013,Carga las mejores armas,,,,,,
Tito Double P,Chino,2024,Chino nunca carga miedo,,,,,,
Grupo Exterminador,El Jefe de la Mafia,1998,El de las pacas de a kilo,,,,,,
Alemán,Dealers,2020,"En la calle la moví, cocaína",,,,,,
El As De La Sierra,El Helicóptero Negro,1996,"destapar botellas, fumar marihuana",,,,,,
Grupo Laberinto,Corrido De Los Perez,1996,Otro gallo les cantara,,,,,,
C-Kan,Somos de Barrio,2013,"y el oficial que aspira perico y expresión agente,",,,,,,
Los Tigres Del Norte,Los Tres De Zacatecas,1996,"Yo se que la carga era de la buena, lo supe por el aroma",,,,,,
Rich Vagos,Millonario,2020,Polvo y un poco de Molly,,,,,,
Los Huracanes Del Norte,Sangre De Gallo,2000,Naci con sangre de gallo,,,,,,
Vicente Fernandez,El Gallo Negro,1978,Porque hasta le he ganado al famoso gallo giro,,,,,,
Los Tigres Del Norte,El Discipulo Del Diablo,2007,Hizo coca transparente,,,,,,
Los Huracanes Del Norte,"Doble Fondo "" Carga Pesada """,1997,"Tenian que llegar al norte, la carga estaba tratada",,,,,,
Alemán,VIP ,2025,"Así que prende el gallo, así que saca el yeyo",,,,,,
Cartel De Santa,Mira Quien Vuelve Al 100,2006,"Pelado más culero, ya vieron que carga fiero",,,,,,
Los Tigres Del Norte,Tambien Las Mujeres Pueden,1997,Tambien mentaban la hierba,,,,,,
C-Kan,El Llanto Del Inmigrante,2015,Coca con el presidente con hielo,,,,,,
Fuerza Regida,ayy weyy,2025,"Me maman las putas, nadar en el polvo lavado",,,,,,
Los Tucanes De Tijuana,Consulado privado,1997,Pero no de hierba mala,,,,,,
