artist,song,year,verso_idx,verso_texto
Millonario & W. Corona,Aqui Vou You,2012,5,Los que me han amenaza'o
Joan Sebastian,Bandido De Amores,2015,37,Descubre a la ingrata
Millonario & W. Corona,Extasis,2012,22,Con el lado sin chapeado
Daddy Yankee,Salgo Pa' La Calle,2008,53,Activo el GPS de nuevo porque
C-Kan,No Haces Na,2015,76,Que volveremos a vernos
Los Cadetes de Linares,Jose Lopez,1980,26,Lloraba su gran pesar
Grupo Exterminador,El Toro Grande,2000,23,Pa' todos mis compañeros
Los Invasores De Nuevo León,El Último Cartucho,1996,10,Que tanta falta le hacía
Los Caminantes,La Mafia Muere,1984,23,Es muy triste deberás la historia
C-Kan,Nos Tienen Miedo,2014,34,pero si hablamos de Rap
Antonio Aguilar,Caballo Alazan Lucero,1972,16,Toda la gente por ti apostaba
Voz De Mando,Estrategias de Guerra,2013,18,Con su super rifle 50
Cartel De Santa,México Lindo Y Bandido ,2006,32,Si no aflojas te chingan con decírselo a tu esposa
Chalino Sánchez,Lazaro Sanchez ,2008,5,si lo llegan a dudar.
Ramon Ayala Y Sus Bravos Del Norte,Cruzando Fronteras,2007,17,en el rio o en el mar
Alemán,No Me Digas Na,2020,25,A veces me aburro de toda' estas pendeja'
Chalino Sánchez,Nacho Verduzco,2012,33,"""Sabía que esto pasaría"""
Natanael Cano,Dinero Digital,2022,21,La mochila Supreme la tengo llena de dinero sucio (yeah-yeah)
Carlos Y Jose,La Entalladita,1980,6,"Pues yo no tengo la culpa,"
Antonio Aguilar,Corrido De Simón Blanco,1984,5,Más grande fué su resulta
Los Cadetes De Linares,El Crimen De Chihuahua,1984,7,La placa es de California
Los Tucanes De Tijuana,Gonzalo Inzunza,2014,35,Y yo al frente con mis compañeros
Bad Bunny,Diles,2021,7,"Dice que le gusta hacerlo con mis temas de trap (oh, yeah)"
Bobi Bozman,Números ,2013,9,la barres como escoba
C-Kan,Viajando En Una Nube,2014,9,"ponchala, mojala, prendela,"
Rich Vagos,Millonario,2020,8,"Que antes nadie daba un peso por mí, nadie me ayudaba ni daba la cara homs"
Primero Company,Mafia Hardcore,2021,45,No soy el cantante no soy Héctor
Alemán,Casa en la Montaña 2,2020,58,Y ahora sus padres pierden miles en el M.P.
Grupo Marrano,El Enfermo,2018,14,Ahora me ando manejando
Fuerza Regida,Se Logró,2022,32,Listo pa' altercados si hay peligro en situación
Adan Cruz,No Doubt,2014,23,Si no me invitas al café a mí
Dharius,El Asesino,2022,21,Las heridas le sanaron pero el hombre no olvidó
Chalino Sánchez,Chuyita Beltran,2008,37,Los gallos cantan temprano
Dharius,La Durango,2018,1,"Me acerqué y le dije hola, ¿en algo te puedo ayudar?"
Los Rehenes,Una Banda Y Un Corrido,2015,37,Mi viejo pudo escuchar
C-Kan,Por El Mexicano,2015,15,avienes nos bombardean mientras soldados nos rodean tropas tiran desde trocas y todo lo controla europa
Chalino Sánchez,Lazaro Sanchez ,2008,18,de ahi mero es Lazaro Sanchez
Natanael Cano,De A De Veras,2022,54,"Lo que digo lo sostengo; huevos tengo, no le fallo a mi palabra"
7 Notas 7 Colores,Mala Gente Con Más,2000,22,"Pero aquí no hay teatro, no."
Lorenzo De Monteclaro,Carga Ladeada,1988,19,Y distintas metralletas
Antonio Aguilar,El Federal de Caminos,1988,21,Por cierto era martes trece
Alemán & Adán Cruz,Ya No Hay Cheve,2018,37,"Alemán no mires, llevas 8 tiras"
Los Tucanes De Tijuana,El Tesoro,2008,15,Hoy esta mejor que nunca
Los Tigres Del Norte,Me Siguen Llamando El Jefe,2014,37,que me arregla los problemas
Los Tucanes De Tijuana,"Julián Pérez (Tema De La Película ""Salvando Al Soldado Pérez"")",2014,61,Corrieron con mucha suerte
Chalino Sánchez,Anastasio Pacheco,2012,6,Le reclamaba unos bueyes
Los Huracanes Del Norte,El Leon De La Sierra,1988,13,"Yo soy un ranchero bueno, que a nacido en la petaca,"
Los Tucanes De Tijuana,Mi Tiendita,2007,31,pero como te ayuda compadre
Chalino Sánchez,Jose Silva Sanchez,2008,11,"Pero allá en Garza Valdez,"
Grupo Exterminador,El Perro Negro,1996,30,Donde todo vato es grande
Antonio Aguilar,Bandido De Amores,2000,22,Ya por la noche en la feria
La Plebada,Placoseo Como Se Debe,2019,14,Hay que celebrar mientras se puede
Peso Pluma,Tommy & Pamela,2024,21,No llevo más nada que sudor de Chanel
Pepe Aguilar,El Hijo De Lamberto Quintero,1996,30,Era tratar con la muerte
Los Tigres Del Norte,Por Ser Sinaloense,2007,28,Pueden pensar lo k quieran
Julio Preciado,Me Caíste Del Cielo,2000,11,seras una santa yo jamas pensare en que sufrir solo amor
Calo,Tercera Guerra,2018,6,Mas de 4 millones de Soldados preparados
Pesado,Laurita Garza,2024,5,nomas porque las podia
J Balvin,Amarillo,2020,20,"No me complico, ¿cómo te explico?"
Carlos Y José,Santos Cantu,1988,4,"Un día 15 de junio, no me quisiera acordar"
Peso Pluma,Sr. Smith,2024,18,Y eso que me muevo por bastantes lados
Alemán & Adán Cruz,Ya No Hay Cheve,2018,10,Yeyo pa' las bishas y los compas
Rich Vagos,Dolla,2020,19,A todo rey le robo corona
Faruz Feet,Puro Corazón ,2015,13,"Rapero de por vida, entiendo que se evoluciona pero sus flows son de tyga, no mas mentiras"
Chalino Sánchez,Raymundo Chaidez,2008,8,Ochenta y tres al corriente
Skool 77,Esperanza,2019,7,"Un territorio prospero, armonía y paz prestada"
Lirika Inverza,Inefable ,2015,15,Desde hace muchos años que ellos caminan tus pasos llevándote hacia el fracaso mientras tu desfilas ciego
Los Tigres Del Norte,La Fama De La Pareja,2007,29,acepto sus condiciones
Peso Pluma,La People II,2024,30,"Y no disimulé, solo mi deber ejecuté"
El Komander,Las Dos Cruces,2013,33,"Que aparentan ser buenos rancheros"""
Millonario & W. Corona,Lirica Y Metralla,2012,18,Con lírica y metralla tralla
Lirika Inverza,Inefable ,2015,21,El arte no está en un altar
Peso Pluma,Peso Completo,2024,17,"El primo de Peso Pluma, cabrón, yo soy peso pesado"
Grupo Exterminador,El Baje,1997,11,Saca los kilos que llevas
Chalino Sánchez,El Gallo De Sinaloa ,2008,12,Para perderme unos días
Voz De Mando,El Señor De Los Cielos,2015,40,Publicaban en la prensa
Cartel De Santa,Super MC's,2002,55,Gigante colosal como el everest asi soy soy
Los Cuates De Sinaloa, El Corrido de el Compa Deme,2009,7,El trabaja alla en luiciana
Carin León,Tupido y Ancho,2019,0,Y no la navegamos de bandidos
Antonio Aguilar,Gallero De Corazon,2014,7,Vengo a buscarle partido
Chalino Sánchez,Dinastia De Los Ochoa,2025,37,Nacho Ochoa con su escuadra
"""El Piporro""",Mariano Resendez,2002,4,"El de la estación, ¡ajúa!"
Lorenzo De Monteclaro,Ayer Baje De La Sierra,1988,1,Ya me estaban esperando
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,109,"Suelo soñar jamas en vano,"
Pesado,Laurita Garza,2024,11,el otro el de Laura Garza
Daddy Yankee,Salgo Pa' La Calle,2008,33,"El bajo retumba y suena como e' (are you ready?, dile)"
Luis Perez Meza,El Barzon,1983,55,"Ni tú tienes pantalones, mejor métete a agrarista"
Alemán & Adán Cruz,Todo Está Bien,2018,33,Ya veras salimos a dar toquínes
Natanael Cano,Toronto,2022,27,Importa nada de lo que hablan
Chalino Sánchez,Chico El Colorado,2012,6,La jente lo respetaba tenia muy buenos amigos
C-Kan,No Haces Na,2015,56,Matamos al que te toque
Redimi2,La Fiesta,2019,109,Parecía que estaba soñando
Dharius,Arenosos,2020,15,Ya sabes quién es el bueno sobre los beats
Los Tigres Del Norte,El Tarahumara,1998,24,Tiene que pagar por ver
7 Notas 7 Colores,"Hecho, Es Simple",2000,86,"Porque el hecho es simple, sí, sí, el hecho es simple"
Los Tigres Del Norte,Juan Guerrero,1983,21,Ocupaciones y mi nombre verdadero
"Fuerza Regida, Natanael Cano",CH y la Pizza,2022,23,Arriba la mafia de la calle
Los Tigres Del Norte,El Mojado Acaudalado,1997,36,Decía una güera en Florida
Millonario & W. Corona,Extasis,2012,53,"Con mis carnales y una bote de black label, you"
Chino Pacas,CHAMAQUITO,2025,6,Unos lentes oscuros nomás pa' la soleada
Antonio Aguilar,Jose Silva Sanchez,1988,9,"las 11 y media serian, cuando preso lo tomaron,"
Chalino Sánchez,Ramiro Sierra,2008,29,les iva rajar el cuero
Vicente Fernandez,Los Dos Compadres,1980,11,"Cuando salio, bien borracho"
Valentin Elizalde,Embarazo Falso,2008,43,Pues se nos han malogrado
Los Tigres Del Norte,Muerte Anunciada,2007,43,Tendrás que cubrir tu cuerpo
Ramon Ayala Y Sus Bravos Del Norte,Silvestre Rodríguez,2000,35,Con el seco en los controles
Alemán,Casa en la Montaña 2,2020,56,"Le dicen ""párense"", ey, los bajan los feds"
Cartel De Santa,Para Aquí O Para Llevar,2002,12,Donde operacion triunfo los usa y los tira
Los Cadetes De Linares,Nomas Las Mujeres Quedan,2008,33,Llorando en el camposanto
Pesado,Las Tres Mujeres,2024,18,"Decía: ""yo pierdo la vida"
Grupo Exterminador,Los Dos Compas,1998,0,"Entonces, ¿dónde, y dónde anduviste?"
Los Tucanes De Tijuana,La Pista Secreta,1996,2,"¡Maldita sea, hagan frente, voy para allá!"
Los Tucanes De Tijuana,El Heredero,1998,39,"Adiós, jefe, tú fuiste primero"
C-Kan,Nos Tienen Miedo,2014,14,Hay quien te critica y te saluda luego
Millonario & W. Corona,De La Calle Soy,2012,92,Por las buenas o a la malagueña
W. Corona,Aquí No Dominas Nada ,2014,5,Es tu vida disfrazada
Hood P,3 AM,2019,0,Las 3: 00 a.m. estoy en el estudio escribiendo
Los Cadetes De Linares,"Entre Hierba, Polvo Y Plomo",2003,38,"Y ahora por ella me muero"""
Chalino Sánchez,Dinastia De Los Ochoa,2025,38,Un cuerpo mandó al panteón
Joan Sebastian,Manuel Juárez,2015,24,"Con rumbo al pueblo, se vino"
Los Tigres Del Norte,El Gallo Del Mojado,2014,22,Pues con tantos ciudadano
Junior H,Rambo El Apodo,2020,3,Es el estado donde viene mi sangre letal
Valentin Elizalde,El Corrido Del Rey Luna,2008,15,del que todo hay que esperarse
Jenni Rivera,Que Me Entierren Con La Banda,2000,40,Hoy le cantamos al pueblo
Los Tucanes De Tijuana,El Pariente,1998,9,Pero siempre ha preferido
Los Tucanes De Tijuana,Los Mas Buscados,1998,30,Hoy quieren echarnos guante
Cartel De Santa,Si Son Bien Jotos ,2006,73,Creen que son malandros pero son maricones
Cartel De Santa,Si Son Bien Jotos ,2006,96,Ando al puro pedo con billetes en la bolsa
Los Tucanes De Tijuana,Juan Potenciano,1997,38,El dicho tan conocido
Kafé con Leshe,Cienes,2015,14,"Y todo para mencionar; cuántos problemas, sufrimientos que suelen causar experiencias en la vida, por eso, quizás te diga que ahora de dónde vivo no te cegará de nuestra realidad, mira,"
Los Tucanes De Tijuana,Los Juniors,1998,25,Por su gran inteligencia
Tiro Loko,Ando Bien Marihuano,2021,42,Haciendo rimas por mi Habilidad
Pesado,Julieta Y El General,2008,62,No lo podria perdonar
Cartel De Santa,Hey Si Me Ven,2006,22,Que rebasa los límites de adrenalina
Alemán,No Me Digas Na,2020,59,"Siempre de party estamos, yo no sé si tú"
El Komander,Una Pantera En Las Cachas,2013,27,Compadre bonito al tiro
Rich Vagos,Miles y Miles,2020,4,Una de Guadalajara que quiera moverlo solo
Rich Vagos,Lugar Correcto,2020,65,Y uno de los peores dejarla por temores
El As De La Sierra,La Ram Colorada,1996,23,Tres tiendas de importaciones
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,48,Solo quiero que escuchen
Dharius,La Durango,2018,17,"Pero ya después capté, que ella me estaba esperando"
Los Cadetes De Linares,Eran Cuatro De A Caballo,1984,8,Cuando rezaba un rosario
Tiro Loko,Ando Bien Marihuano,2021,26,Sonando por todos los lados
Los Tigres Del Norte,El Cura,2002,15,que yo mismo lo matara
Valentin Elizalde,Jesus Alvino Quintero,2008,8,"Empezo a empuñar dinero, tambien empuño la fama"
C-Kan,Nos Tienen Miedo,2014,46,pues bajele de huevos
Los Caminantes,El Potro Lobo Gateado,1984,17,Meterlo por malo al carro
Antonio Aguilar,Rosendo Cruz (El Lobo),2006,4,Una venganza escondida
Natanael Cano,Traigo Ganas,2022,2,"Andar volando, disfruto lo malo"
Natanael Cano,Porque La Demora,2025,34,"Pa la derecha, con el Charly aquí ando"
Calibre 50,De Sinaloa Para El Mundo,2012,14,Se van las exportaciones
7 Notas 7 Colores,Mala Gente Con Más,2000,8,"daros vuestros pirulos,"
Tito Double P,Linda,2024,33,Los tenis Nike son Air Force One
Los Tucanes De Tijuana,La piñata,1997,27,Sabían bien que las bolsitas
Los Tigres Del Norte,Detalles,2007,6,El que es pobre jamás puede hacerlos
Los Tigres Del Norte,El Hijo Menor,1996,23,"Porque eres muy poca cosa"""
Eme MalaFe,Oveja Negra 2,2024,20,"Vivirla de morro, sufrirla bien perra"
Pedro Infante,Nacho Bernal,1988,1,¡Ahí viene Nacho Bernal!
Natanael Cano,Porque La Demora,2025,45,¿Qué importa si me ve portando corta?
Pepe Aguilar,El Hijo De Lamberto Quintero,1996,34,Aquel que dejarón muerto
Los Tigres Del Norte,Tambien Las Mujeres Pueden,1997,28,Y chamarra de vaqueta
C-Kan,Esta Vida Me Encanta [Remix],2012,82,"Aunque digan y comenten que yo soy reggaetonero (sí, jajaja)"
Elote El Barbaro,Esto Es México ,2015,26,"La Policía es de viseteria hay negocios ya sin garantía y nadie más confía, la feria rifa pero pero es una chinga obtener tantita y la mayoría se te va en pagar propinas . tanto impuesto, ISR, IVA"
Los Cadetes de Linares,El Retorno De Chito Cano,1980,21,A la sierra de Guerrero
Fuerza Regida,El Diablo,2022,32,Y ránquenle compa Chay
Paulo Londra,Tal Vez,2019,38,"Entonces, ¿ahora cómo olvido de tu nombre?"
Chalino Sánchez,Fierro Bazan,2008,1,"querian ayar un culpable, la ocasion se a presentado"
Rich Vagos,Mayday,2020,70,Pero yo sí aviso que te doy por dos
Hood P.,No Cocos No Tallos,2013,7,Que lo que se hace aquí es la mierda que los mea
Los Huracanes Del Norte,"Doble Fondo "" Carga Pesada """,1997,19,"Ademas de varios vuelcos, tambien varias explosiones"
Los Tucanes De Tijuana,El H2,2014,27,para esto estoy preparado
Bad Bunny,Café Con Ron,2025,26,"Ven subiendo, ven subiendo"
Kosmer,Brasil 99',2020,41,No pidas dinero si te ofendes si te cobran (ah)
Alemán,Bachas,2020,53,"Las enrolo en zig zag, me las fumo, hago ceniza"
Alemán,Famous G,2018,11,Deja lo' pico' y yo las pinto
Grupo Exterminador,La Fiesta De Los Perrones,1997,15,De Jalisco y de Sonora
Valentin Elizalde,Corrido De Juan Martha,2008,15,hoy ya tengo muy buen puesto
Los Caminantes,Sucedió En La Barranca,1984,3,Que fue muy mi amigo y murió en la barranca
Chalino Sánchez,Chuyita Beltran,2008,40,Y siempre tiene una charla
Los Tigres Del Norte,El Discipulo Del Diablo,2007,24,Y al olfato de los canes
Los Huracanes Del Norte,El Arbol De La Horca,1988,22,No van a poder salvarlo
Lucha Villa,Corrido De Chihuahua,1983,25,Y los pinos de Majalca
Ramon Ayala,Daniel Del Fierro,1976,18,"Anda a avisarles a todos, también al rancho la piedra"
El As De La Sierra,La Doble Rodado,1998,3,que todo llegue completo
Chalino Sánchez,Eleazar Quintero,2002,19,Eleasar Quintero ha sido una persona que cuenta
Los Tucanes De Tijuana,El Charro De Culiacán,1996,6,Siguieron investigando
Los Cadetes De Linares,Nomas Las Mujeres Quedan,2008,1,Hay un rancho en el olvido
C-Kan,Tirando Esquina,2014,67,"la banda lo que pida, para todos hay salida"
Tino El Pingüino,Sherlock Drums (o El Papá de Toda Esa Bola de Culeros),2013,47,A que tu depa esté en Santa Fe (No tengo na' que perder)
Tiro de Gracia,Melaza,1997,19,Despierto temprano en la mañana
Paulo Londra,Dimelo,2019,49,Soy todo oídos pa' tu boca
Dharius,Polvo Blanco,2022,10,"Soy el flaco, loco rapero; empecé de cero siendo el más sincero"
Skool 77,Una Vida Al Gusto,2019,20,lo tengas en el banco (ladrones-skool 77) la
Los Tigres Del Norte,Contrabando Y Traicion,1988,50,Sonaron siete balazos
El As De La Sierra,Regalo Caro,1997,27,"Ahí le va señor Cárdenas, compa zeta"
Rosalía,Saoko,2022,13,Cuando es de noche en el cielo
Antonio Aguilar,Rosita Alvirez,2007,28,"Hipólito, viejo matón"
Los Tucanes De Tijuana,Manuel Caro Carrillo,1996,26,También quedó ahi abatido.
Los Cadetes de Linares,Eleazar Del Fierro,1980,10,"Eleazar al verse herido, se rió de lo que habían hecho"
Grupo Exterminador,La Fiesta De Los Perrones,1997,7,Y brindemos por México
Denilson,Icy,2021,39,Y le digo qué pasa perro tú ni siquiera estabas cuando no había nada
Alemán,Astro 1,2018,45,La luna brilla y los lobos salen
Los Huracanes Del Norte,El Sexenio De La Muerte,1996,21,En la calle de la fragua
Tito Double P,Dembow Bélico,2024,17,Sé que yo manejo algún contrato
Los Tucanes De Tijuana,El Hijo De Lamberto Quintero,2008,33,Vengué a mi padre querido
Grupo Exterminador,El Baje,1997,31,Algunos cayeron muertos
C-Kan,Esta Vida Me Encanta [Remix],2012,30,"De plano en mi rap no encajan, tírenme, que me relaja"
El As De La Sierra,El Rayo De Sinaloa,1997,22,"Medina carga una lista, la perra vuelve a ladrar"
Valentin Elizalde,El Corrido Del Diez,2008,16,Mas nunca descuido el jale
Antonio Aguilar,La Toma De Zacatecas,1984,6,Que se estaban agarrando
Natanael Cano,Pal Que Dijo Que No,2020,10,"Salí de abajo, yo me superé (sí)"
Millonario,Inmortal,2015,13,Si tienes feria o andas con cuernos de chivo
"""El Piporro""",El Pata Rajada,2002,41,"No se fijan como ando vestido,"
7 Notas 7 Colores,Les Gano A Todos,2000,71,hay dias que hasta los cordones de las bambas parecen que esten vivos
"""El Piporro""",Volaron Los Pavos Reales,2002,27,Pos es que ustedes van a tener que mantener a mis hijos
Fuerza Regida,ayy weyy,2025,43,"La Fuerza Regida es, fue y seguirá"
Carlos Y Jose,Tres Tumbas,1996,7,Su padre les dio un consejo
Daddy Yankee,Talento De Barrio,2008,17,Me canse de estar en cero
Lila Downs,Son De Difuntos,2015,68,"¡Ajá, epa! (Uh-uh-uh-eah)"
Antonio Aguilar,El Palenque Del Diablo,2014,11,iban marcando su paso
Bad Bunny,Bokete,2025,16,Ya ni quiero competir
Calibre 50,El Niño Sicario,2012,23,Ser sicario ahora es mi vida
Chalino Sánchez,El Pitallon,2012,16,Su cuadril siempre relumbra la quiere pa' los traidores
Pedro Infante,El Aventurero,1988,0,Hoy he vuelto de otras tierras
Lalo Mora,Laurita Garza,2008,21,"Tengo mi novia pedida, por ti, mi amor se acabo"
7 Notas 7 Colores,"Hecho, Es Simple",2000,81,"CPV, Elements, La Madre, sí"
Lord Masta & Rplcmnts,Astrodromo,2021,0,Esto les llama como luz incandescente
Ovi,Vengo De Nada,2020,27,"Yo agradezco que estoy vivo, oh-oh-oh"
Los Tigres Del Norte,Arnulfo Gonzalez,2003,25,"Aquí termina el corrido, del teniente y de González"
Alemán & DJ Phat,El Levantón ,2014,21,Porque se andan muriendo de hambre y no tenemos ni para una tortilla
C-Kan,Esta Vida Me Encanta [Remix],2012,59,"De chavo fui pandillero, nació el amor a las letras"
Junior H,Con Un Presidente,2020,20,No ocupo pa' nada si no cargo miedo
Rich Vagos,Lo Logramos,2020,22,Afuera hay un aguacero
Calibre 50,Plebada Alterada,2012,15,Con la pechera ajustada
Rich Vagos,Lugar Correcto,2020,45,Apunto al corazón y siempre doy directo al blanco
C-Kan,Mi Música Es Un Arma,2013,50,La fama aumento el dinero llego el odio tambien crecio
Banda Sinaloense Los Recoditos,El Nylon,1997,46,Del sueño yo me he reído
Daddy Yankee,K-ndela,2008,61,Tú sabes el veneno que suelta la cascabel
"""El Piporro""",La Estrea Del Desello,2002,9,"Yo se bien que no soy ninguna alhaja,"
Grupo Exterminador,El Dedo,1997,13,"Que se cuide ese marica,"
Los Tigres Del Norte,El Aguilillo,2000,28,No acostumbro a dar mi nombre
Los Tigres Del Norte,El Circo,2002,17,Fue Carlos quien los cerro
Maluma,Trofeo,2024,20,A ver si todo lo malo se va por ahí
Bad Bunny,La Mudanza,2025,6,Gracias a Dios que ese día no estaba busy
Los Tigres Del Norte,La Maestra,1983,22,"Con ella le dio 6 tiros, luego se mato Laurita"
Eme MalaFe,Monedita De Oro,2025,14,"Al que respeta, respeto"
Los Huracanes Del Norte,"Doble Fondo "" Carga Pesada """,1997,15,"Ya nos vio la de caminos, sacate las escopetas"
Denilson,Mi Coro,2021,12,"Pero nene qué quieres, quieres sonar y ni lírica tienes"
El Komander,Las Dos Cruces,2013,12,"No ha matado, nunca ha hecho ni un daño"
Los Cadetes de Linares,La Discusión Fue Una Yegua,1985,2,"Hizo mucho por los pobres, quizo mucho a su nacion"
Los Tigres Del Norte,El Curita Y La Coqueta,2007,31,pero andaba muy inquieta
Grupo Laberinto,El Comandante,1996,51,Nunca lo hubieran vendido
Daddy Yankee,Talento De Barrio,2008,20,De lo mítico del punto y cuando paraliza el culto
Tino El Pingüino,S.O.S.,2013,44,Mierda te sigo explotando
Los Tigres Del Norte,La Inflación,2000,23,El resto de tu vida no te la vas a acabar
Peso Pluma,PRC,2023,2,Los teléfonos no paran nunca de sonar
Antonio Aguilar,Caballo Alazan Lucero,1972,30,"Ay, amigos, no solamente hombres y mujeres"
